project_id,project_name,state,county,phase,decided,lifecycle_outcome,n_opposition_events,first_opposition_date,what_to_recover
prj_158,Natelli Investments New Hill Digital Campus,NC,,withdrawn,yes,blocked_confirmed,3,2025-08-01,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_38,Pike Township Data Center,IN,marion,withdrawn,yes,blocked_confirmed,1,2026-02-02,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_1002,Province Group Perry Village Data Center Campus,OH,lake,withdrawn,yes,blocked_confirmed,1,2025-07-01,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_31,Martindale Indianapolis Metrobloks Data Center,IN,marlon,proposed,no,pending,3,2026-02-12,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_33,Decatur Technology Park,IN,marion,proposed,no,pending,1,2026-04-20,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_34,Project Louie,IN,morgan,construction,yes,advanced_confirmed,1,2025-07-01,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_102,CRG Festus Data Center,MO,jefferson,approved,yes,advanced_confirmed,1,2026-04-10,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_103,Armory Innovation Data Center,MO,st. louis,approved,yes,advanced_confirmed,1,2026-04-21,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_105,Metrobloks Liberty Data Center Campus,MO,clay,approved,yes,advanced_confirmed,1,2026-03-24,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_109,Oppidan Foristell Data Center Sites,MO,st. charles county; warren,proposed,no,pending,1,2026-03-16,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_116,DataOne Vineland,NJ,cumberland,construction,yes,advanced_confirmed,1,2025-12-23,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_127,Niagara Digital Campus Data Center Development,NY,niagara,proposed,no,pending,1,2026-06-03,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_146,Charlotte University City Data Center,NC,mecklenburg,construction,yes,advanced_confirmed,1,2026-04-23,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_154,T5 Data Centers Kings Mountain,NC,cleveland county; gaston,expansion,yes,advanced_confirmed,1,2026-02-26,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
prj_236,Kline Township Data Center,PA,schuylkill,proposed,no,pending,1,2026-01-17,"project announcement date, day or month precision, primary or trade-press record preferred; append to data/project_lifecycles source with source_url"
