project_id,project_name,state,county,phase,lifecycle_outcome,decided,announced_date,announced_precision,decision_date,decision_date_source,source_url,days_announced_to_decision,last_status_update,capacity_mw,capacity_source,size_acres,n_opposition_events,first_opposition_date,last_opposition_date,opposition_span_days,days_announced_to_first_opposition,opposition_types,n_opposition_groups,has_lawsuit
prj_1,Project Nebius,AL,jefferson,proposed,pending,no,2026-01-01,month,,,,,2026-09-16,300,proposals,80,2,2026-03-03,2026-05-25,83,,lawsuit; moratorium,8,yes
prj_2,Project Marvel,AL,jefferson,proposed,pending,no,2025-01-01,year,,,,,2026-09-16,1200,proposals,1600,2,2026-04-21,2026-07-13,83,,lawsuit; zoning_restriction,7,yes
prj_3,Meta Platforms Montgomery,AL,montgomery,construction,advanced_confirmed,yes,2024-05-01,month,,,,,2026-09-16,100,proposals,1453,1,2026-03-11,2026-03-11,0,,legislation,1,no
prj_4,DC BLOX Montgomery,AL,montgomery,preliminary,pending,no,2024-11-01,month,,,,,2026-05-02,40,proposals,27,0,,,,,,0,no
prj_5,DC BLOX Birmingham,AL,jefferson,expansion,advanced_confirmed,yes,2026-01-01,year,,,,,2026-09-16,40,proposals,12,1,2026-07-13,2026-07-13,0,,other_opposition,1,no
prj_6,AUBix + Core Scientific Data Center,AL,lee,expansion,advanced_confirmed,yes,2025-01-01,year,,,,,2026-04-15,16,proposals,,0,,,,,,0,no
prj_7,Tallassee Mill Data Center,AL,elmore,rejected,blocked_confirmed,yes,2026-04-01,month,,,,,2026-09-16,10,proposals,,0,,,,,,0,no
prj_8,Columbiana Mining Facility and Data Center,AL,shelby,construction,advanced_confirmed,yes,2022-01-01,year,,,,,2026-05-05,55,proposals,,1,2026-02-17,2026-02-17,0,,zoning_restriction,1,no
prj_9,Childersburg Data Center,AL,talladega,preliminary,pending,no,2025-01-01,year,,,,,2026-09-16,500,proposals,486,1,2026-01-23,2026-01-23,0,,public_comment,2,no
prj_10,Project Red Clay,AL,lowndes,proposed,pending,no,2026-04-01,month,,,,,2026-09-16,,,800,0,,,,,,0,no
prj_11,Edged Energy Prichard Data Center,AL,mobile,proposed,pending,no,2026-04-01,month,,,,,2026-09-16,8,proposals,,1,2026-02-17,2026-02-17,0,,zoning_restriction,1,no
prj_12,Beacon Mount Vernon Data Center,AL,mobile,proposed,pending,no,,,,,,,2026-09-16,,,650,0,,,,,,0,no
prj_13,VoltCore Bitcoin Mine,AL,morgan,proposed,pending,no,,,,,,,2026-09-16,50,proposals,15,0,,,,,,0,no
prj_14,Stak Energy Center,AK,,proposed,pending,no,2026-05-01,month,,,,,2026-09-16,3000,proposals,715,1,2026-07-07,2026-07-07,0,,other_opposition; public_comment,3,no
prj_15,Prudhoe Bay Data Center,AK,,operational,advanced_confirmed,yes,,,,,,,2026-09-16,120,proposals,100,1,2026-06-03,2026-06-03,0,,ordinance; zoning_restriction,0,no
prj_16,ForgeLight Ventures Conway,AR,faulkner,proposed,pending,no,2025-04-01,month,,,,,2026-09-17,100,opposition_events,336,1,2025-04-01,2025-04-01,0,,public_comment,1,no
prj_17,EdgeConneX Sheridan,AR,grant,proposed,pending,no,,,,,,,2026-09-17,500,proposals,753,1,2025-10-01,2025-10-01,0,,public_comment,1,no
prj_18,Project Pyramid,AR,crittenden,proposed,pending,no,2025-10-01,month,,,,,2026-09-17,500,proposals,1178,1,2025-10-01,2025-10-01,0,,public_comment,2,no
prj_19,Clarksville Data Center,AR,johnson,proposed,pending,no,2025-01-01,year,,,,,2026-09-17,318,opposition_events,135,1,2025-11-25,2025-11-25,0,,public_comment,1,no
prj_20,Vilonia Cryptomine,AR,faulkner,withdrawn,blocked_confirmed,yes,2025-01-01,year,,,,,2026-09-15,,,,1,2026-06-03,2026-06-03,0,,ordinance; zoning_restriction,0,no
prj_21,Project Leo,AR,pulaski,proposed,pending,no,2026-01-01,month,,,,,2026-09-17,150,proposals,760,2,2025-06-01,2026-05-26,359,,moratorium; zoning_restriction,1,no
prj_22,Port of Little Rock Data Center,AR,pulaski,proposed,pending,no,2026-03-01,month,,,,,2026-04-11,100,proposals,32.82828283,4,2026-03-14,2026-07-07,115,,moratorium; ordinance; public_comment; zoning_restriction,2,no
prj_23,NE Edge Groton Data Center,CT,new london,rejected,blocked_confirmed,yes,2024-01-01,year,,,,,2026-09-16,300,proposals,34.435,2,2022-06-15,2024-01-09,573,,moratorium; zoning_restriction,3,no
prj_24,Wallingford Data Center,CT,new haven,preliminary,pending,no,2024-01-01,year,,,,,,,,,0,,,,,,0,no
prj_25,Bloomfield Data Center Proposal,CT,hartford,proposed,pending,no,2025-01-01,year,,,,,2026-09-16,,,,0,,,,,,0,no
prj_26,Trumbull Data Center Investment,CT,fairfield,proposed,pending,no,2025-01-01,year,,,,,2026-04-12,,,,0,,,,,,0,no
prj_27,Bristol Technology Center,CT,hartford,proposed,pending,no,2023-01-01,year,,,,,2026-09-16,,,2,0,,,,,,0,no
prj_28,Project Washington,DE,new castle,delayed,pending,no,2025-06-01,month,,,,,2026-09-16,1200,proposals,580,2,2026-02-04,2026-03-26,50,,zoning_restriction,4,no
prj_29,"St. Georges Business Park Data Center Development / ""Frightland Project""",DE,new castle,proposed,pending,no,2025-11-01,month,,,,,2026-09-16,,,1362,0,,,,,,0,no
prj_30,Newark White Clay Creek Business Park Data Center,DE,new castle,delayed,pending,no,2026-01-01,year,,,,,2026-09-16,,,44,1,2026-01-30,2026-01-30,0,,zoning_restriction,1,no
prj_31,Servpac Mililani Technology Park Data Center,HI,honolulu,expansion,advanced_confirmed,yes,,,,,,,2026-09-16,,,5,0,,,,,,0,no
prj_32,Granger Data Center,IN,st. joseph,proposed,pending,no,2025-05-01,month,2026-01-28,"Henry County Commissioners 2-1 PUD approval vote, date stated in sourced tracker record",https://indianapublicradio.org/news/2026/01/henry-county-data-center,272,2026-09-15,1000,proposals,900,0,,,,,,0,no
prj_33,South Bend Data Center,IN,st. joseph,preliminary,pending,no,2025-12-01,month,,,,,2026-03-08,,,300,0,,,,,,0,no
prj_34,Project Rainier,IN,st. joseph,construction,advanced_confirmed,yes,2024-12-01,month,,,,,2026-03-17,2400,proposals,850,1,2026-07-08,2026-07-08,0,,public_comment,0,no
prj_35,Martindale Indianapolis Metrobloks Data Center,IN,marlon,proposed,pending,no,2025-01-01,year,2025-05-13,"Withdrawal notice to Plan Commission, county release; web-verified (WISH/WTHR/Daily Reporter 2025-05-13/14)",https://www.wishtv.com/news/politics/rezoning-proposal-withdrawn-for-data-center-in-hancock-county/,,2026-04-06,72,proposals,14,4,2026-02-12,2026-05-12,89,,lawsuit; moratorium; zoning_restriction,8,yes
prj_36,Surge Development Knightstown Data Center,IN,henry,proposed,pending,no,2025-10-01,month,2025-09-22,"Google withdrawal, date stated in sourced tracker record",https://mirrorindy.org/google-behind-proposed-indianapolis-data-center-project/,-9,2026-04-06,,,585,1,2026-01-28,2026-01-28,0,,public_comment,1,no
prj_37,Decatur Technology Park,IN,marion,proposed,pending,no,2025-01-01,year,,,,,2026-04-06,250,proposals,130,2,2026-02-24,2026-04-20,55,,lawsuit; moratorium,7,yes
prj_38,Project Louie,IN,morgan,construction,advanced_confirmed,yes,2025-01-01,year,2026-02-02,"American Tower Corp. withdrew its rezoning petition for the Pike Township data center, confirmed Monday 2026-02-02; web-verified (IBJ 2026-02-02; Fox59 2026-02-03 'On Monday, American Tower confirmed it has withdrawn'; Mirror Indy 2026-02-03)",https://www.ibj.com/articles/developer-withdraws-rezone-request-for-pike-township-data-center,,2026-04-06,1200,opposition_events,628,1,2025-07-01,2025-07-01,0,,lawsuit,3,yes
prj_39,Hancock County MegaSite,IN,hancock,withdrawn,blocked_confirmed,yes,2025-04-01,month,,,,,2026-09-15,,,775,2,2025-06-01,2026-03-29,301,,legislation; zoning_restriction,1,no
prj_40,Pittsboro Middle Township Data Center,IN,hendricks,delayed,pending,no,2025-02-01,month,,,,,2026-04-06,,,,0,,,,,,0,no
prj_41,Pike Township Data Center,IN,marion,withdrawn,blocked_confirmed,yes,2025-01-01,year,,,,,2026-04-07,4,opposition_events,,1,2026-02-02,2026-02-02,0,,zoning_restriction,2,no
prj_42,Project Maize,IN,la porte,construction,advanced_confirmed,yes,2025-06-01,month,2025-01-31,Cedar Rapids City Council granted the development approvals for the Google (Big Cedar Industrial Center) data center at the end of January 2025; date set to month-end 2025-01-31 (day precision not established in sources — treat as month precision),https://www.datacenterfrontier.com/site-selection/article/55268088/cedar-rapids-iowa-gets-approval-for-two-major-data-center-investments-by-google-and-qts,-121,2026-09-15,,,70,0,,,,,,0,no
prj_43,Hobart Tech Park,IN,lake,proposed,pending,no,2025-01-01,year,,,,,2026-05-20,,,725,2,2025-10-01,2025-11-01,31,,public_comment,2,no
prj_44,Microsoft La Porte Data Center,IN,laporte,construction,advanced_confirmed,yes,2024-01-01,year,,,,,2026-06-03,538,opposition_events,1800,2,2026-04-13,2026-05-18,35,,public_comment; zoning_restriction,1,no
prj_45,Project Domino,IN,boone,construction,advanced_confirmed,yes,2024-11-01,month,,,,,2026-06-18,1000,proposals,1400,1,2025-08-01,2025-08-01,0,,public_comment; zoning_restriction,2,no
prj_46,JPG Data Center,IN,jefferson,proposed,pending,no,2026-02-01,month,,,,,2026-06-03,,,,0,,,,,,0,no
prj_47,Decennial Group Akron Data Center,IN,fulton,proposed,pending,no,2026-02-01,month,,,,,2026-03-09,500,proposals,300,1,2026-03-03,2026-03-03,0,,moratorium,2,no
prj_48,Project Flo,IN,marion,withdrawn,blocked_confirmed,yes,2025-03-01,month,,,,,2026-04-06,400,opposition_events,,1,2025-09-22,2025-09-22,0,,project_withdrawal,2,no
prj_49,Amazon Wheatfield,IN,jasper,proposed,pending,no,2026-06-01,month,,,,,2026-06-03,,,304,0,,,,,,0,no
prj_50,Bristol Data Center,IN,elkhart,preliminary,pending,no,2026-03-01,month,,,,,2026-03-08,,,,0,,,,,,0,no
prj_51,Project Zodiac,IN,allen,construction,advanced_confirmed,yes,2023-12-19,day,,,,,2026-08-11,,,855,1,2023-10-01,2023-10-01,0,-79,public_comment,1,no
prj_52,Google Cedar Rapids,IA,linn,proposed,pending,no,2024-03-22,day,,,,,2026-09-21,565,opposition_events,,3,2026-03-01,2026-07-01,122,709,moratorium; zoning_restriction,2,no
prj_53,QTS Cedar Rapids,IA,linn,proposed,pending,no,2025-01-01,month,,,,,2026-09-21,,,612,0,,,,,,0,no
prj_54,Meta Davenport Data Center,IA,scott,proposed,pending,no,2024-05-01,month,,,,,2026-04-15,,,,1,2024-05-01,2024-05-01,0,,public_comment,1,no
