project_id,project_name,state,county,phase,lifecycle_outcome,n_opposition_events,first_opposition_date,what_to_recover
prj_232,Dickson City Data Centers,PA,lackawanna,rejected,blocked_confirmed,1,2026-02-13,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_277,Colossus 2,TN,shelby,construction,advanced_confirmed,18,2025-03-04,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_276,Colossus,TN,shelby,operational,advanced_confirmed,13,2024-08-26,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_323,Meta Hyperion,LA,richland,construction,advanced_confirmed,10,2025-04-04,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_185,Meta Bowling Green Data Center,OH,wood,construction,advanced_confirmed,6,2025-04-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_121,CoreWeave Kenilworth,NJ,union,construction,advanced_confirmed,4,2025-11-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_56,PowerHouse Louisville,KY,jefferson,construction,advanced_confirmed,3,2025-09-11,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_111,Gateway Digital Campus,MO,franklin,approved,advanced_confirmed,3,2026-01-15,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_140,Rowan County Data Center,NC,rowan,construction,advanced_confirmed,3,2026-03-17,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_40,Hobart Tech Park,IN,lake,approved,advanced_confirmed,2,2025-10-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_97,Nebius Independence Hyperscale Campus,MO,jackson,construction,advanced_confirmed,2,2026-01-16,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_182,Strata Expanse AI Center of Excellence,OH,lawrence,construction,advanced_confirmed,2,2025-12-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_215,PAX – Pennsylvania Digital I,PA,cumberland,construction,advanced_confirmed,2,2026-03-01,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_300,Microsoft La Porte Data Center,IN,laporte,construction,advanced_confirmed,2,2026-04-13,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_3,Meta Platforms Montgomery Data Center,AL,montgomery,construction,advanced_confirmed,1,2026-03-11,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_5,DC BLOX Birmingham,AL,jefferson,expansion,advanced_confirmed,1,2026-05-25,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
prj_11,Columbiana Mining Facility and Data Center,AL,shelby,construction,advanced_confirmed,1,2026-02-17,"terminal disposition date (vote, withdrawal, or signature), day precision, primary record preferred; append to data/project_decision_dates.csv with source_url"
