level,state,identifier,person_name,reason,detail,rows_affected
state,MN,HF 16,,subject_not_established,"title carries no explicit data center or large-load term: Immigration law enforcement noncooperation ordinances and policies prohibited, use of immigration-related data provided, and county attorney",134
state,VA,SB 253,,subject_not_established,title carries no explicit data center or large-load term: Electric utilities; pilot programs for energy assistance and weatherization for certain individuals.,980
state,VA,HB 1393,,subject_not_established,title carries no explicit data center or large-load term: Electric utilities; pilot program for energy assistance and weatherization for certain individuals.,587
state,NM,SB 235,,subject_not_established,title carries no explicit data center or large-load term: MICROGRID OVERSIGHT ACT,42
state,AZ,HB 2795,,subject_not_established,title carries no explicit data center or large-load term: small modular reactors; zoning; approval,180
state,AZ,HB 2457,,subject_not_established,title carries no explicit data center or large-load term: public utilities; plant construction; colocation,150
state,KY,SB 197,,subject_not_established,"title carries no explicit data center or large-load term: AN ACT providing funding and establishing conditions for state government agencies and institutions, making an appropriation therefor, and d",176
state,WA,SB 5982,,subject_not_established,"title carries no explicit data center or large-load term: Updating provisions for consumer-owned utilities, including port districts, and affected market customers under the clean energy transformat",196
state,CO,SB 26,,subject_not_established,title carries no explicit data center or large-load term: Weight for Vehicles with Child Restraint System,174
state,IN,HB 1210,,subject_not_established,title carries no explicit data center or large-load term: Department of local government finance.,350
state,OH,HB 96,,subject_not_established,title carries no explicit data center or large-load term: Make state operating appropriations for FY 2026-27,512
state,ME,LD 713,,subject_not_established,title carries no explicit data center or large-load term: An Act Regarding Taxation,220
state,NE,LB 1261,,subject_not_established,title carries no explicit data center or large-load term: Prohibit the use of eminent domain to acquire certain privately owned electric generation facilities,784
state,WY,HB 90,,subject_not_established,title carries no explicit data center or large-load term: State engineer-consumptive water use study.,85
state,NE,LB 209,,subject_not_established,title carries no explicit data center or large-load term: Change provisions relating to homestead exemptions for certain veterans and a property tax exemption for certain facilities,98
state,TN,HB 1847,,subject_not_established,"title carries no explicit data center or large-load term: Computers and Electronic Processing - As enacted, generally prohibits a municipality or electric utility to pay or absorb the cost of electr",3
state,DE,SB 326,,subject_not_established,title carries no explicit data center or large-load term: AN ACT TO AMEND TITLE 26 OF THE DELAWARE CODE RELATING TO THE PUBLIC SERVICE COMMISSION.,62
