opp_id,state,bill_identifiers,record_year,recorded_status,recorded_outcome,lookup_status,incident,date
opp_1e51e4931d42,CT,SB 245,2026,died,loss,ready,Connecticut (statewide),2026-02-04
opp_de1ee11155ca,ND,HB 1579,2025,passed,win,ready,North Dakota (HB 1579),2025-01-01
opp_96103c271b2b,MN,,2026,dead,loss,no_bill_id,Minnesota (statewide moratorium proposal),2026-02-20
opp_2f1153a6f830,NC,HB 1002,2026,pending,pending,ready,North Carolina (statewide HB 1002),2026-02-01
opp_5d1c237068fa,WV,HB 5590; HB 5620; HB 4983; HB 2014,2026,passed,loss,ready,West Virginia (statewide),2026-01-01
opp_d061f5146c15,MN,,2025,cancelled,win,no_bill_id,City of Becker,2025-05-23
opp_2b8c76fed856,OR,HB 3546,2025,passed,mixed,ready,Oregon (statewide),2025-06-05
opp_f7640b49cd6b,MN,HF 16,2025,passed,win,ready,Minnesota (HF 16),2025-06-14
opp_7bd467275f0e,TX,SB 6,2025,passed,win,ready,Texas (statewide SB 6),2025-06-20
opp_d3e9b8630571,NJ,,2026,passed,mixed,no_bill_id,New Jersey (statewide),2026-04-08
opp_5c4db6785114,ND,,2025,approved,loss,no_bill_id,Ellendale,2025-08-01
opp_1228ae833969,LA,,2025,approved,mixed,no_bill_id,Richland Parish,2025-08-01
opp_ec76fb0ac2f1,DE,HB 233,2025,"passed House (June 16, 2026); pending in Senate",pending,ready,Delaware (statewide),2025-09-29
opp_5793674a1ca2,MI,,2025,active,mixed,no_bill_id,Saline Township,2025-10-01
opp_285e7f5f8866,WI,,2025,pending,pending,no_bill_id,Fredonia/Saukville,2025-10-10
opp_bbaf2eee64a2,CA,SB 57,2025,passed,win,ready,California (SB 57),2025-10-11
opp_e68cad835453,NJ,A 5462; S 731; A 796,2026,defeated,loss,ready,New Jersey (A5462 Conditional Veto),2026-01-21
opp_a629ce65d734,MT,,2025,active,pending,no_bill_id,Montana (statewide),2025-11-18
opp_3d8dd6f61bb1,TX,,2026,approved,loss,no_bill_id,Amarillo,2026-02-25
