run_date,kind,action,incident,date,field,detail
2026-08-26,correction,applied,Coachella,2026-06-04,Opposition Type; Summary,was data_source='datacentertracker.org'
2026-08-26,correction,applied,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,Incident; City; Date; Entity; Location; Opposition Type; Severity; Source URL; State; County; Scope; Issue Category; Objective; Authority Level; Status; Community Outcome; Summary; Sources; lat; lon,was data_source='signal_harvest_auto'
2026-08-26,correction,applied,Coachella City Council to consider permanent ban on data centers,2026-08-12,DELETE_ROW,removed 1 row(s)
2026-08-26,correction,applied,Coachella City Council expected to permanently ban data centers,2026-08-26,DELETE_ROW,removed 2 row(s)
2026-08-26,correction,applied,"Imperial County (data center moratorium + by-right elimination advancing), CA",2026-06-16,APPEND_SUMMARY; APPEND_SOURCES,was data_source='datacentertracker.org'
2026-08-26,correction,applied,"Reno (data center moratorium extended into 2027), NV",2026-06-01,APPEND_SUMMARY,was data_source='datacentertracker.org'
2026-08-26,correction,deleted,Coachella City Council to consider permanent ban on data centers,2026-08-12,DELETE_ROW,https://kesq.com/news/2026/08/12/coachella-city-council-to-consider-permanent-ban-on-data-centers/
2026-08-26,correction,deleted,Coachella City Council expected to permanently ban data centers,2026-08-26,DELETE_ROW,https://kesq.com/news/2026/08/25/coachella-city-council-expected-to-permanently-ban-data-centers/
2026-08-26,correction,deleted,Coachella City Council expected to permanently ban data centers,2026-08-26,DELETE_ROW,https://kesq.com/news/2026/08/25/coachella-city-council-expected-to-permanently-ban-data-centers/
2026-08-26,addition,promoted,"Woodland Park (18-month data center moratorium), CO",2026-07-16,,data_source=manual_upload
