Incident,City,Date,Entity,Location,Opposition Type,Severity,Source URL,State,County,Scope,Issue Category,Objective,Authority Level,Status,Community Outcome,Hyperscaler,Company,Project Name,Investment Million USD,Megawatts,Acreage,Sponsors,Opposition Groups,Summary,Sources,Opposition Website,Opposition Facebook,Opposition Instagram,Petition URL,Petition Signatures,data_source,lat,lon
Chelan County PUD,Chelan County PUD,2014-12-01,Unknown,"Chelan County PUD, WA",moratorium,1,https://www.chelanpud.org/my-pud-services/rates-and-policies/high-density-loads,WA,Chelan County,local,grid_energy; ratepayer,Pause crypto mining in Chelan County PUD pending regulations,utility_commission,expired,loss,,,,,,,,,"Chelan County PUD enacted a moratorium on power requests of 1 MW or more in December 2014, prompted by influx of bitcoin miners drawn to cheap hydropower. Led to creation of a High Density Load rate in 2016. A second moratorium was imposed March 2018 when applications surged again. 28+ unauthorized operations identified; 19 shut down with $5K-10K enforcement fees.",https://www.chelanpud.org/my-pud-services/rates-and-policies/high-density-loads; https://www.ncwlife.com/news/chelan-pud-imposes-bitcoin-mining-moratorium/article_ab34b346-d437-589b-9121-3a57bdf1a301.html; https://mrsc.org/stay-informed/mrsc-insight/may-2018/bitcoin-comes-to-washington,,,,,,,47.423,-120.31
City of East Wenatchee,City of East Wenatchee,2018-03-01,Unknown,"City of East Wenatchee, WA",zoning_restriction,1,https://www.wenatcheeworld.com/news/local/cryptocurrency-temporarily-banned-in-east-wenatchee-residential-zones/article_13d14c5b-9597-5bac-aa93-2784c8251565.html,WA,Douglas County,local,noise; zoning,Ban crypto mining from residential zones in East Wenatchee,city_council,expired,loss,,,,,,,,,"East Wenatchee Council passed a 6-month interim zoning ordinance restricting cryptocurrency operations to Central Business and General Commercial districts only, and prohibiting use of cargo containers for crypto mining. Part of a broader regional wave: Wenatchee, Leavenworth, Entiat, Waterville, and Chelan also passed emergency controls.",https://www.wenatcheeworld.com/news/local/cryptocurrency-temporarily-banned-in-east-wenatchee-residential-zones/article_13d14c5b-9597-5bac-aa93-2784c8251565.html; https://www.ncwlife.com/news/east-wenatchee-passes-bitcoin-zoning-ordinance/article_1dc9a008-a6e5-5d08-a5c4-67c3dc64f300.html; https://mrsc.org/stay-informed/mrsc-insight/may-2018/bitcoin-comes-to-washington,,,,,,,47.398,-120.294
Franklin County,Franklin County,2022-04-01,Red Dog Technologies,"Franklin County, TN",zoning_restriction,1,https://www.datacenterdynamics.com/en/news/officials-in-franklin-county-tennessee-deny-zoning-request-for-cryptomine-data-center/,TN,Franklin County,local,community_impact; noise; zoning; property_values,Deny Red Dog Technologies rezoning for data center in Franklin County,county_commission,defeated,win,,Red Dog Technologies,Bitcoin Mining Data Center,70,35,9,,Spring Creek Road Residents,"Franklin County Commission denied rezoning for Red Dog Technologies' proposed Bitcoin mining data center near Tullahoma. Residents said noise would be unbearable and damage property values. The denial was one of the early examples of local opposition to crypto mining data centers in Tennessee. The project involves a 35 MW capacity, $70 million in investment. Opposition was led by Spring Creek Road Residents.",https://www.datacenterdynamics.com/en/news/officials-in-franklin-county-tennessee-deny-zoning-request-for-cryptomine-data-center/,,,,,,,35.1492,-86.0553
Town of Groton,Town of Groton,2022-06-15,NE Edge,"Town of Groton, CT",moratorium,1,https://ctexaminer.com/2022/06/15/groton-approves-one-year-moratorium-on-data-centers/,CT,New London County,local,contract_guarantees; zoning,Impose 1-year data centers moratorium in Town of Groton,planning_commission,expired,win,,NE Edge,,,,173,,Groton Open Space Association; Groton Conservation Advocates,"Groton Planning and Zoning Commission placed a 1-year moratorium on data centers larger than 5,000 sq ft in June 2022. Previously, data centers were classified as ""telecommunications facilities."" Replaced by permanent data center zoning regulations adopted July 2023 (Section 5.1-6.F). Groton now has an active data center Host Municipality Fee Agreement. The project involves the NE Edge proposal, 160 MW capacity.",https://ctexaminer.com/2022/06/15/groton-approves-one-year-moratorium-on-data-centers/; https://www.datacenterdynamics.com/en/news/groton-connecticut-announces-year-long-moratorium-on-large-data-centers/; https://www.greatergroton.com/data-centers-in-groton,,,,,,,41.35,-72.079
Clay County,Clay County,2022-08-04,Unknown,"Clay County, NC",zoning_restriction,1,https://www.claycountyprogress.com/local/no-commercial-crypto-mining-allowed,NC,Clay County,local,environmental; grid_energy; noise,Ban commercial crypto mining in Clay County,county_commission,passed,win,,,,,,,,,"Clay County unanimously approved a permanent ban on commercial cryptocurrency mining facilities in August 2022. Prompted by noise, electricity, and waste problems from crypto mines in neighboring Cherokee County. Residential/personal crypto mining is exempted. Key concerns driving this action include environmental impacts. The community successfully achieved its objective.",https://www.claycountyprogress.com/local/no-commercial-crypto-mining-allowed; https://www.cherokeescout.com/local/clay-bans-commercial-crypto-mining-facilities-county,,,,,,,35.057,-83.748
Henderson County,Henderson County,2023-05-01,Unknown,"Henderson County, NC",moratorium,1,https://www.foxcarolina.com/2023/05/01/henderson-county-hold-public-hearing-cryptocurrency-mining/,NC,Henderson County,local,environmental; grid_energy; noise; zoning,Impose 60-day crypto mining moratorium in Henderson County,county_commission,expired,win,,,,,,,,,"Henderson County passed a 60-day moratorium on cryptocurrency mining on May 1, 2023, citing noise, energy, and e-waste concerns. The moratorium was replaced by permanent Land Development Code amendments establishing zoning requirements for crypto mining. State Sen. Tim Moffitt also sponsored SB 774 granting Henderson, Polk, and Rutherford counties authority to regulate crypto mining.",https://www.foxcarolina.com/2023/05/01/henderson-county-hold-public-hearing-cryptocurrency-mining/; https://www.hendersoncountync.gov/sites/default/files/fileattachments/planning_board/meeting/136698/4.20.23_plbd_item_-_text_amendment_for_cryptocurrency_mining.pdf,,,,,,,35.327,-82.48
Buncombe County,Buncombe County,2023-05-02,Unknown,"Buncombe County, NC",moratorium,1,https://mountainx.com/news/commissioners-approve-one-year-ban-on-crypto-mining/,NC,Buncombe County,local,noise; zoning,Impose 1-year crypto mining moratorium in Buncombe County,county_commission,expired,win,,,,,,,,MountainTrue,"Buncombe County (Asheville area) unanimously passed a 1-year moratorium on cryptocurrency mining on May 2, 2023. Extended in May 2024 for another year through May 2025. The county developed permanent regulations to replace the moratorium. Commissioner Terri Wells proposed the moratorium after hearing complaints from Cherokee County residents.",https://mountainx.com/news/commissioners-approve-one-year-ban-on-crypto-mining/; https://www.bpr.org/bpr-news/2024-05-08/last-night-at-commission-buncombe-extends-moratorium-on-cryptocurrency-mining,https://mountaintrue.org/,https://www.facebook.com/MountainTrue/,,,,,35.601,-82.551
City of Harrison,City of Harrison,2023-05-25,Green Digital LLC,"City of Harrison, AR",moratorium,1,"https://harrisondaily.com/stories/more-about-moratorium-on-crypto,204197",AR,Boone County,local,community_impact; transparency; zoning,Impose 6 month data centers and crypto mining moratorium in City of Harrison (Green Digital),city_council,cancelled,loss,,Green Digital LLC,,,,5,,Secure Arkansas,"Harrison passed a moratorium on data centers and crypto mining on May 25, 2023 after hundreds of residents objected to a Green Digital LLC crypto facility (a subsidiary with Chinese Communist Party ownership ties). The moratorium was actively removed on Nov 28, 2023 (~6 months in) after Arkansas Act 851 (""Right to Mine"" law) preempted local regulation of crypto mining. The project involves 5 acres.","https://harrisondaily.com/stories/more-about-moratorium-on-crypto,204197; https://www.ky3.com/2023/11/29/harrison-ark-city-council-votes-remove-moratorium-crypto-mining-center-during-special-meeting/; https://katv.com/news/local/arkansas-towns-vs-chinese-supercomputers-how-recent-legislation-removes-local-governments-ability-to-regulate-cryptocurrency-mines-antbox-group-green-digital-llc-nancy-cartwright-harrison-vilonia-metahash-global-act-851-hb-1799-sarah-huckabee-sanders",https://securetherepublic.com/arkansas/,https://www.facebook.com/groups/securearkansas/,,,,,36.23,-93.107
Cascade Locks Port Authority,Cascade Locks Port Authority,2023-07-01,Roundhouse Digital Infrastructure,"Cascade Locks Port Authority, OR",project_withdrawal,1,https://www.datacenterdynamics.com/en/news/cascade-locks-port-authority-cancels-plans-for-data-center-in-oregon/,OR,Hood River County,local,community_impact; grid_energy; ratepayer,Recall officials who approved Roundhouse Digital data center,voters,cancelled,win,,Roundhouse Digital Infrastructure,,100,10,10,,Friends of the Columbia Gorge,"Roundhouse Digital Infrastructure planned a $100M, 10MW data center at the Port of Cascade Locks in the Columbia River Gorge, about 40 miles east of Portland. The facility would have more than doubled the area's power draw. Residents raised concerns about electricity supply impacts, the developer's lack of experience, and unclear funding. Opposition was a key issue in local elections that saw voters recall two officials who backed the project, with two other data center advocates losing re-election bids. Following the recall, the new port authority board canceled the project in July 2023. Friends of the Columbia Gorge was a key opposition group. The project involves 10 acres.",https://www.datacenterdynamics.com/en/news/cascade-locks-port-authority-cancels-plans-for-data-center-in-oregon/; https://www.bisnow.com/national/news/data-center/local-opposition-kills-100m-oregon-data-center-119928; https://gorgefriends.org/who-we-are/shutting-down-a-data-center-proposal-in-cascade-locks.html; https://www.portofcascadelocks.gov/july-20-2023-cascade-locks-port-and-roundhouse-inc-jointly-announce-decision-to-discontinue-datacenter-project,https://gorgefriends.org/who-we-are/shutting-down-a-data-center-proposal-in-cascade-locks.html,https://www.facebook.com/gorgefriends/,,,,,45.6696,-121.891
Waterford / East Lyme,Waterford / East Lyme,2024-01-09,NE Edge,"Waterford / East Lyme, CT",zoning_restriction,1,https://www.theday.com/local-news/20240109/siting-council-deals-initial-blow-to-waterford-data-center-project/,CT,New London County,local,community_impact; grid_energy; zoning,Deny NE Edge 300MW data center at Millstone Power Station,utility_commission,defeated,win,,NE Edge,,231,300,55,,Concerned Citizens of Waterford and East Lyme (CCWEL),"CT Siting Council denied Dominion Energy's petition to modify Millstone Power Station boundaries for NE Edge's 1.5M sq ft hyperscale data center (300MW, ~15% of reactor output). Concerned Citizens of Waterford and East Lyme (CCWEL) organized opposition. The project involves 55 acres. The community's stated objective was to deny NE Edge 300MW data center at Millstone Power Station.",https://www.theday.com/local-news/20240109/siting-council-deals-initial-blow-to-waterford-data-center-project/; https://ctmirror.org/2024/04/19/ct-data-center-nuclear-plant-bill/,https://sites.google.com/view/ccwel-resources/home,https://www.facebook.com/groups/334197669329172/,,,,,41.362,-72.149
