id,field,value,reason,source
141,phase,proposed,Approval VOIDED 2026-04-13 due to defective statutory notice; must not show as approved,court ruling / township notice
74,date,2025-07-10,"Announced-date correction (primary municipal record). Related Digital submitted its rezoning application to Saline Township on July 10, 2025, per the township's official project summary document. Scraper date (2025-10) reflected the OpenAI/Oracle Stargate announcement, months after local proposal and opposition began. Corrects a negative announced-to-first-opposition span.",https://salinetownship.org/go.php?id=731&table=page_uploads
158,date,2025-09-02,"Announced-date correction (application receipt, day precision). Natelli Investments filed annexation, rezoning, and UDO amendment applications with the Town of Apex on September 2, 2025, per the developer's own FAQ; WRAL reported the filing the next day.",https://newhilldigitalcampus.com/faqs/; https://www.wral.com/news/local/developer-plans-data-storage-facility-apex-sep-2025/
160,date,2025-07,"Announced-date correction (sourced). Rezoning petition for Project Accelerate was filed with the Town of Matthews in July 2025; the Board of Commissioners initiated the rezoning process the week of July 14-21, 2025. Month precision. Corrects a negative announced-to-first-opposition span on a blocked-arm project.",https://www.matthewsnc.gov/newsview.aspx?nid=7118; https://www.charlottestories.com/matthews-joining-charlottes-tech-boom-with-massive-new-123-acre-data-center-development/
25,date,2023-10,Announced-date correction (sourced). Scraper carried 2023-12-19 (Allen County commissioners annexation vote). Project first became public October 2023 when Fort Wayne shared preliminary plans for an unnamed Fortune 100 tenant; Allen County Plan Commission documents date to October 2023. Corrects a negative announced-to-first-opposition span.,https://www.wane.com/top-stories/google-confirms-its-the-business-behind-project-zodiac-data-center-project-in-fort-wayne/
323,date,2024-12,"Announced-date confirmation (sourced). Meta announced the Richland Parish campus (Hyperion) in December 2024, confirming the existing scraper date. Precision corrected from day to month. The negative span on this project originates on the opposition side, not here; see date_recovery_negative_spans.md.",https://datacenters.atmeta.com/richland-parish-data-center/
101,date,2025-12,"Announced-date correction (sourced). The Wildwood Ranch annexation/rezoning proposal first became public via a legal ad in the Joplin Globe in late December 2025 (Globe, mid-January 2026: proposal 'became public little more than two weeks ago in a legal ad'). Scraper carried year-precision 2026. Month precision. The linked opposition event dated 2025-10-01 predates public knowledge and is flagged separately.",https://www.yahoo.com/news/articles/data-center-proposal-expected-draw-233100952.html
113,date,2024-03,"Announced-date correction (sourced). Project Mica was first publicly reported as a Google data center campus in March 2024 (KCTV: land purchase for data center campus); Port KC authorized bonds July 29, 2025. Scraper date 2026-02 reflected Google's official confirmation, after approval and construction start. Month precision.",https://www.kctv5.com/2025/07/29/10b-500-acre-tech-campus-gets-stamp-approval-near-smithville/; https://www.kshb.com/news/local-news/missouri/kansas-city/google-announces-construction-underway-for-second-data-center-campus-in-kansas-city
297,date,2026-01-07,"Announced-date correction (day precision). The Jailhouse Studios proposal was presented to the Hamilton County Commission at its January 7, 2026 meeting per commission minutes cited by DCD; developer press release followed January 9, 2026. Scraper date 2026-03 reflected final lease approval.",https://www.datacenterdynamics.com/en/news/former-jail-in-chattanooga-tennessee-targeted-for-production-space-and-data-center/; https://urbanstoryventures.com/citys-new-jailhouse-studios-the-worlds-first-quantum-ready-sovereign-data-processing-and-ai-center-with-an-integrated-creator-campus/
322,phase,proposed,"Phase correction. Tracker codes the Province Group Perry Village campus as withdrawn, but the project is active: April 2026 protests at Perry Village council, village awaiting the developer's PILOT/financing request, Perry BOE confirmed 'no new update' 2026-06-29, and a Protect Perry and Lake Erie ballot initiative has an August 5 petition deadline. No withdrawal is on record. Must not sit in the decided frame as blocked_confirmed.",https://www.news5cleveland.com/news/local-news/crowd-packs-perry-village-hall-to-protest-data-center-project-as-tensions-rise-across-ohio; https://www.theohioregister.com/perry-boe-confirms-no-new-update-on-data-center/
