submitted_on,submitted_by,match_incident,match_date,match_url,field,new_value,reason,status,applied_on,result_note
2026-08-26,record_review_2026_08,Coachella,2026-06-04,,Opposition Type,moratorium; public_comment,"June 4 action adopted Urgency Ordinance 1229 (45-day moratorium); record was typed from the April protest phase as public_comment only. Report correction: the June 4 action was a moratorium, not a ban.",applied,2026-08-26,was data_source='datacentertracker.org'
2026-08-26,record_review_2026_08,Coachella,2026-06-04,,Summary,"On April 22, 2026, more than 100 residents packed the Coachella City Council meeting demanding a moratorium on the proposed 240-acre (potentially 450-acre, six-building) Coachella Valley Technology Campus near Avenue 52 and Fillmore Street, planned by Stronghold Power Systems / DMK Project Solutions. The item was not on the formal agenda; residents used public comment to press officials over water use in a drought-prone region, electric demand, air quality, noise, and loss of farmland in a 97% Latino working-class community. Records show developer Stronghold previously donated to former Mayor Steven Hernandez. May 11, 2026: heated town hall at the Boys & Girls Club drew dozens of frustrated residents directly confronting Stronghold Power Systems; a moratorium petition circulated, and the project was required to complete a full EIR before approval. RESOLVED: On June 4, 2026 the Coachella City Council unanimously approved Urgency Ordinance 1229, a 45-day data center moratorium, AND voted to terminate its development agreement with Stronghold Power Systems (the proposed Avenue 52/Fillmore campus), directing staff to draft a permanent citywide prohibition for later consideration. [Correction 2026-08-26, record review: the June 4 action was the 45-day MORATORIUM only; the permanent prohibition is a separate, later action tracked as its own record - first reading passed August 12, 2026, second reading scheduled August 26, 2026. Earlier phrasing here caused the June 4 record to auto-classify as a ban.]","Prior phrasing ('permanent ban', twice) tripped the ban mechanism trigger (strength 5 outranks moratorium 4), so the June 4 record classified qc_mechanism=ban in the clean feed. June 4 was the moratorium; the ban is a separate, later action tracked as its own record.",applied,2026-08-26,was data_source='datacentertracker.org'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Incident,"Coachella (permanent data center ban ordinance), CA",Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,City,Coachella,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Date,2026-08-12,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Entity,Unknown,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Location,"Coachella, CA",Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Opposition Type,ban,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Severity,1,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
2026-08-26,record_review_2026_08,"Coachella passes first reading of permanent ban on data centers , second vote on Aug . 26",2026-08-13,,Source URL,https://kesq.com/news/2026/08/12/coachella-passes-first-reading-of-permanent-ban-on-data-centers-second-vote-on-aug-26/,Curated into the separate Coachella permanent-ban record per the report correction (the ban is separate and later than the June 4 moratorium); consolidates three signal-harvest stubs about the same ordinance.,applied,2026-08-26,was data_source='signal_harvest_auto'
