"Stage","What it means","Correct outcome"
"Signed into law","Governor signature confirmed","Approved"
"Passed both chambers","On governor's desk","Approved"
"Vetoed","Governor rejected it","Blocked"
"Died at adjournment / sine die","Session ended without passage","Blocked"
"Failed floor vote","Chamber voted it down","Blocked"
"Died in committee","Committee took no action","Blocked"
"Withdrawn","Sponsor pulled it","Blocked"
"Passed one chamber","Only House or Senate","Pending — not Approved"
"Passed committee only","Advanced out of committee","Pending — not Approved ← the HF2690 trap"
"Introduced","Filed / referred","Pending"
"active","Ongoing local action or monitoring","Pending"
"announced","Decision publicly announced but not yet enacted","Pending"
"moratorium adopted","Local government enacted a moratorium (opposition win)","win"
"moratorium passed","Local government passed a moratorium (opposition win)","win"
"passed","Local/state action reached terminal passage","win or loss depending on direction"
"approved","Action approved by governing body","win or loss depending on direction"
"defeated","Action voted down","loss (if opposition sought it) or win (if anti-restriction)"
"cancelled","Action withdrawn or cancelled before decision","Pending → needs context"
"failed","Action did not pass","loss (if pro-restriction) or win (if anti-restriction)"
"expired","Time-limited action lapsed without renewal","Pending — may be loss"
"ongoing","Use 'active' instead — normalize on ingest","needs normalization"
"pending","Filed or proposed, awaiting decision","Pending"
"delayed","Action postponed; no terminal disposition yet","Pending"
"postponed","Synonym for delayed — normalize on ingest","needs normalization"
"plan unveiled","Project plans released, no regulatory action yet","Pending"
"changed","Status changed from prior value — needs specifics","needs normalization"
"resolved","Generic terminal — use win/loss/mixed where possible","needs context"
