opp_id,project_id,action,note
opp_ee3e55ec561f,prj_112,reject,"Event concerns Diode's Harper Road Technology Park in Peculiar (Cass Co), a different project; company overlap is shared developer only"
opp_b616448b7922,prj_46,reject,"Clarke Co moratorium prompted by Applied Digital regional interest; Adair project is in Adair Co, outside this moratorium's jurisdiction"
opp_3d94fe3695b1,prj_200,reject,Province Group withdrawal was in Perry Township/Perry Village (Lake Co); this project is Stark Co with different developer
opp_5c4db6785114,prj_310,confirm,Summary names Polaris Forge 1 campus in Ellendale directly; on-site resistance
opp_5793674a1ca2,prj_74,confirm,AG court challenge targets the 1.4GW Oracle Saline Township project = this project
opp_33737b22aa29,prj_86,reject,Oshtemo moratorium is preemptive/township-wide; Pavilion project (already withdrawn) cited only as regional context
opp_5288b24a4a41,prj_79,reject,"Summary states Microsoft proposal is in neighboring Gaines Twp, not Caledonia; moratorium responds to inquiries within Caledonia"
opp_6b836a2ea426,prj_111,confirm,Petition targets the Robertsville Rd Villa Ridge site = Gateway Digital Campus site
opp_2be4ae43a667,prj_158,confirm,Chatham moratorium adopted in direct response to this Natelli proposal per summary
opp_3daa01fe8b3d,prj_11,confirm,Ordinance and town-hall opposition prompted by this existing DigiPower X facility; restrictions prospective (facility exempted)
opp_640418330b67,prj_165,confirm,City lawsuit targets fuel-cell installation at this AWS campus
opp_021c2c472697,prj_290,confirm,Event is the zoning-exemption controversy of the Bedington/Penzance campus itself
opp_0453f3eb092f,prj_121,confirm,Tax-credit award and comment concern this CoreWeave Kenilworth facility
opp_eb2497aac72f,prj_125,confirm,Seneca Co joins Tompkins opposing TeraWulf water permit for this Lansing project
opp_5613cfd9c200,prj_65,confirm,Event is public comment on the Sanford Woods campus itself
opp_946200962f07,prj_3,confirm,SB354 solar moratorium prompted by opposition to solar supplying this Meta Montgomery expansion; power-supply infrastructure opposition
opp_0dd5fa8d7b11,prj_111,confirm,Gateway/Provident rezone at I-44 & Robertsville Rd = this project
opp_5a776792b0d9,prj_128,confirm,"Moratorium prompted by Eco-Yotta 150-acre rezone = this project (EcoYotta, Oneonta)"
opp_694fd871e193,prj_200,reject,Plain Twp moratorium is spillover triggered by the neighboring Perry Twp approval; not an event in the Perry project's lifecycle
opp_ffd6f6258531,prj_200,reject,Massillon action is proactive/county-wide; Perry project referenced as context only
opp_579c6221cd23,prj_150,reject,Statewide convening held in Greensboro; not about the Greensboro Dream Center project
opp_8d21af184d54,prj_90,confirm,April 2026 Madison Co expansion announcement + community scrutiny matches this Ridgeland/Madison AWS project announced 2026-04
opp_6cf217a83040,prj_247,confirm,Zoning amendment is follow-on regulation from commissioners' rejection of this Talen rezone request
opp_d51e905c487c,prj_305,reject,Citywide Title 17 amendments predate this project's announcement; not project-specific
opp_1fe5b42c3c0a,prj_81,confirm,YCUA water/sewer moratorium covers hyperscale service commitments in this project's service area; summary names project
opp_97c6b1c4ce0e,prj_44,reject,"Whitehouse inquiry concerns Meta Hyperion (Louisiana), not the Davenport IA project"
opp_df627d2543f9,prj_96,confirm,Incentive-package controversy is this xAI Southaven project
opp_35da1240ccc5,prj_277,confirm,Colossus Water Recycle permit + Protect Our Aquifer comments concern this xAI Memphis project
opp_56cafaa65c57,prj_277,confirm,Tulane Rd construction permit expands this Colossus 2 campus
opp_3fcce62b89d0,prj_174,reject,Oversight letter concerns OpenAI corporate matters; summary itself calls data-center link tangential
opp_f863ea20d366,prj_96,confirm,MDEQ turbine disclosure concerns this xAI Southaven site
opp_a21a79c66f82,prj_30,reject,Event is a third New Carlisle project's rezoning; Rainier referenced as cluster context
opp_c7e3a124dc06,prj_277,confirm,Turbine purchases are for the litigated Memphis Colossus operation
opp_2dbe6b3f9923,prj_122,confirm,Millville ban killed this specific proposal per summary
opp_03cd61627883,prj_90,reject,"PSC docket concerns Prado AI's Ridgeland project, a different developer/project than this AWS site"
opp_062ff8f63413,prj_121,reject,Roselle Park ordinance is a neighboring town's own instrument; CoreWeave project cited as context (spillover)
opp_fe71b0d4a03f,prj_215,confirm,Spot-zoning legal challenge announced against the PAX-1 approval = this project
opp_2c2cb728f16e,prj_121,reject,"Summit ban is a neighboring town's own instrument following Kenilworth; spillover, not project lifecycle"
opp_da0668452fc7,prj_15,confirm,Regulations meeting featured heavy criticism of this Google-backed Port of Little Rock project
opp_77322533276a,prj_72,confirm,Executive-order moratorium explicitly includes the Dickerson power plant site project
opp_6c99b2ced8b6,prj_49,reject,"Summary states moratorium was prompted by wastewater capacity, not a specific project; denied"
opp_1d385dba0608,prj_168,confirm,Moratorium push names this 5C/Vultr conversion as a local driver; instrument prospective
opp_60329c4c5a7c,prj_185,reject,"Waterville moratorium prompted by regional interest; Meta Middleton cited as regional context, developer undisclosed"
opp_9e90ce39a97b,prj_165,reject,Summary states Amazon unconfirmed as applicant for this rezoning; insufficient evidence
opp_cb6743fd62b4,prj_78,reject,"Event blocks 'Project Maize' in New Buffalo Twp, a different project than Benton Charter Twp"
opp_a15dfb7714c3,prj_74,reject,"DTE rate filing references the project as a pledge condition; utility's own filing, not opposition to the project"
opp_1228ae833969,prj_323,confirm,"Event is the Hyperion expansion itself (site purchase, $27B Blue Owl JV)"
opp_c4d2b92dc5bc,prj_33,reject,Statewide rally/moratorium push; not specific to the Decatur project (duplicate statewide record)
opp_3f0af36b5412,prj_323,confirm,LPSC vote concerns investigation of the Hyperion financing arrangement specifically
opp_4a32aa1799f0,prj_323,reject,"Lightning Amendment is a statewide approval-pathway rule for large loads generally, not this project"
opp_2446724c6c23,prj_323,confirm,ALJ docket concerns Meta/Laidley Entergy service for Hyperion specifically
opp_3c2069dc2adf,prj_323,confirm,LDEQ hearing on Entergy units at Titanium station adjacent to and serving Hyperion; power-supply infrastructure opposition
opp_502722eed9cd,prj_323,confirm,Motion to Investigate targets the Hyperion/Blue Owl financing in Docket U-37425
opp_ea7d8304fed3,prj_323,reject,"Application concerns Project Everest, a second Richland Parish campus separate from Hyperion (now its own project prj_327)"
opp_97c6b1c4ce0e,prj_323,confirm,Whitehouse inquiry explicitly concerns Hyperion's fossil-fuel expansion
opp_8be8b626b0e2,prj_323,confirm,Water-withdrawal approval is for the Hyperion data center specifically
opp_660d40c453a6,prj_137,reject,"County moratorium responds to three separate proposals (ESS Dunn Rd, Terra Nexus Custer Ave, PRSM); process began 2026-04-20 before PRSM disclosure; not specific to this ESS project. Verified CityView 2026-05-22/06-16"
opp_4eeb8c836b99,prj_56,confirm,"Moratorium push explicitly prompted by constituent opposition to this PowerHouse/Poe Rubbertown buildout and its telecom-hotel fast-track; instrument prospective, does not affect this project directly. Verified Spectrum News 2026-06-03, WHAS11 2026-05-12"
opp_660d40c453a6,prj_329,confirm,"PRSM proposal was the named driving concern at the 2026-05-18 hearing (per tracker record); developer testified against the moratorium; adopted county moratorium gates this project's permitting path. Caveat: site undisclosed, county instrument covers unincorporated areas only. Verified CityView 2026-05-22/06-16"
