id,name,type,phase,status,state,towns,counties,address,lat,lon,size_acres,capacity_mw,scale,date,lastUpdated,yearOpened,jobsConstruction,jobsLongTerm,jobsTotal,companies,zoningAllowance,landSold,bringingOwnEnergy,approx,locationTbd,moratoriumExempt,info,createdAt,updatedAt,outcome_detail
321,Harper Road Technology Park,Data Center,proposed,,Missouri,Peculiar,Cass,,38.7192,-94.4585,500,,0,2024-10-01,2026-07-10,,,,,Diode Ventures,,,,True,False,,Proposed $1.5B multi-building campus in Peculiar (Cass County). Surfaced via opposition tracker: city added data-center zoning definition enabling the project; organized resident opposition followed (2024-10 zoning fight). Coordinates approximate (city centroid). Sources: opposition tracker records; harborcountry/local coverage pending.,2026-07-10T18:24:32.000Z,2026-07-10T18:24:32.000Z,
322,Province Group Perry Village Data Center Campus,Data Center,withdrawn,,Ohio,Perry Township / Perry Village,Lake,,41.7631,-81.1430,163,,0,,2026-07-10,,,,,Province Group,,,,True,False,,Seven-building campus on 163 acres; developer had agreed to purchase land from Perry Village for $8.4M. Zoning application formally withdrawn July 2025 per opposition tracker records. Announced date not verified; coordinates approximate (village centroid).,2026-07-10T18:24:32.000Z,2026-07-10T18:24:32.000Z,
323,Meta Hyperion,Data Center,construction,,Louisiana,Holly Ridge,Richland,,32.5070,-91.6470,,,0,2024-12-01,2026-07-10,,,,,Meta,,,,True,False,,Meta's multi-billion-dollar Richland Parish AI campus announced December 2024; under construction. Reported multi-GW scale; capacity left blank pending sourced figure. Associated federal scrutiny (Senate EPW inquiry over Entergy gas plants) tracked in opposition records. Coordinates approximate.,2026-07-10T18:24:32.000Z,2026-07-10T18:24:32.000Z,
324,Prado AI Industrial Campus,Data Center,preliminary,,Mississippi,Ridgeland,Madison,,32.4285,-90.1323,,,0,2026-03-02,2026-07-10,,,,,Prado AI; PraCon Global Investment Group,,,,True,True,,"Proposed AI data center + semiconductor fabrication campus with dedicated 350 MW gas plant (plant capacity, not IT load). PSC declaratory-opinion request filed 2026-03-02; PSC declined to opine 2026-05-29 calling request premature; developer says project proceeding, site now described as Jackson metro, undisclosed. Sources: Mississippi Today 2026-04-22 and 2026-06-01; WLBT 2026-05-29.",2026-07-10T18:24:32.000Z,2026-07-10T18:24:32.000Z,
325,New Carlisle Chicago Trail Data Center (Third Site),Data Center,proposed,,Indiana,New Carlisle,St. Joseph,Chicago Trail between Spruce Rd and Walnut Rd,41.7200,-86.5100,1057,,0,,2026-07-10,,,,,Undisclosed Developer,,,,True,False,,"~$12-13B proposal on 1,057 acres of farmland; developer undisclosed (petition entity tied to 80 Broad St NY address; land owned by Mall-O-Manor LLC / Szczypiorski family). Rezoning DENIED 7-2 by St. Joseph County Council 2025-12-09 after unfavorable Area Plan Commission and Land Use Planning Committee recommendations; renewed petition activity first-read 2026-05-13 per tracker. Phase reflects active petition; the 2025-12-09 denial is a sourced adverse milestone. Sources: South Bend Tribune / WSBT / WNDU Dec 2025; DCD May 2026.",2026-07-10T18:24:32.000Z,2026-07-10T18:24:32.000Z,
326,Project Maize / Google Michigan City Data Center,Data Center,construction,,Indiana,Michigan City,LaPorte,402 Royal Road,41.6906,-86.9250,,,0,2025-01-01,2026-07-10,,,,,Google; Phoenix Investors,,,,True,False,,"$832M conversion of former Federal Mogul facility (400,000 sq ft brownfield). Plans submitted to Common Council early 2025 (date precision: year); council approved four resolutions Sept 2025; construction began fall 2025; Google confirmed acquisition 2026-04-16. Opposition: IUOE Local 150 labor protests and picketing. Sources: WNDU/WSBT 2025-2026, Building Indiana Sept 2025.",2026-07-10T18:24:32.000Z,2026-07-10T18:24:32.000Z,
327,Meta Project Everest,Data Center,proposed,,Louisiana,,Richland,,32.4600,-91.7500,,,0,2026-03-25,2026-07-10,,,,,Meta; Evest LLC,,,,True,True,,"Second Meta data center campus in Richland Parish, separate from Hyperion. Surfaced via LPSC filing: Meta subsidiary Evest LLC applied 2026-03-25 for approval of generation/transmission resources tied to a 20-year contract (Docket per tracker record). Exact site undisclosed; coordinates are parish-approximate. Source: opposition tracker LPSC record.",2026-07-10T18:25:52.000Z,2026-07-10T18:25:52.000Z,
328,Terra Nexus Custer Avenue Data Center,Data Center,proposed,,North Carolina,Fayetteville,Cumberland,Custer Avenue near Eastover,35.0800,-78.8000,,200,0,2025-10-01,2026-07-10,,,,,Terra Nexus Ventures,,,,True,False,,200 MW data center; plans submitted to Fayetteville fall 2025 (date precision: month approximated to Oct). Sited near the Fayetteville PWC power plant. Coordinates approximate. Source: CityView NC 2026-05-22.,2026-07-10T18:40:35.000Z,2026-07-10T18:40:35.000Z,
329,PRSM Group Cumberland County Data Center,Data Center,preliminary,,North Carolina,,Cumberland,,,,50,225,0,2026-05-18,2026-07-10,,,,,PRSM Group,,,,True,True,,"PRSM Group (Charlotte/Arlington VA) client project: two 1M-sq-ft phases, 225 MW, on 50 acres in an undisclosed Cumberland County industrial park. Publicly disclosed by partner Eric Little at the county's 2026-05-18 moratorium hearing, where he argued against the moratorium; county adopted a 6-month moratorium for unincorporated areas 2026-06-15. Source: CityView NC 2026-05-22 and 2026-06-16.",2026-07-10T18:40:35.000Z,2026-07-10T18:40:35.000Z,
330,Project Sail Data Center,Data Center,approved,,Georgia,Newnan,Coweta,Wagers Mill Road / Welcome Sargent Road,33.3540,-84.8420,829,900,0,2024-12,2026-07-13,,,,,Atlas Development; Prologis,,,,True,False,,"Hyperscale campus, 9 buildings ~4.34M sq ft, ~900 MW, on ~829 acres near Newnan. Atlas Development first filed rezoning December 2024 (rural conservation to industrial); amended January 2026 after county adopted its data center ordinance Dec 2025. Coweta County Board of Commissioners approved the rezoning 3-2 on 2026-04-07. Prologis agreed to buy the site May 2025. 17 residents filed a Superior Court appeal 2026-05-05 seeking to void the rezoning — finality watch. Coordinates approximate. Sources: Atlanta News First 2026-04-08, The Citizen 2026-04-10, DeSmog 2026-04-07, CBS Atlanta 2026-05-07.",2026-07-13T15:20:01.000Z,2026-07-13T15:20:01.000Z,
