Incident,State,County,Date,qc_mechanism,status_clean,Status,Source URL
Adair County,IA,Adair County,2024-04-24,conditional_zoning,active,active,https://www.datacenterdynamics.com/en/news/applied-digital-faces-opposition-to-planned-data-center-in-adair-county-iowa/
Davenport,IA,Scott County,2024-05-01,cost_allocation,active,active,https://www.datacenterdynamics.com/en/news/meta-named-as-company-behind-328-acre-data-center-in-davenport-iowa/
City of Racine vs. Village of Mount Pleasant (water-and-wastewater agreement dispute),WI,Racine County,2024-06-01,disclosure,active,active,https://urbanmilwaukee.com/2024/09/18/mount-pleasant-racine-in-legal-battle-over-water-after-foxconn-failure/
Osceola County,FL,Osceola County,2024-10-01,conditional_zoning,active,active,https://www.datacenterdynamics.com/en/news/company-seeks-to-rezone-434-acres-for-data-center-in-osceola-county-florida/
EPA Region 4 (xAI Memphis inquiry),TN,Shelby County,2024-11-01,legislation,resolved,resolved,https://prismreports.org/2025/06/18/xai-memphis-data-center-pollution/
United States (DOE/LBNL Report),US,,2024-12-20,legislation,active,active,https://www.energy.gov/articles/doe-releases-new-report-evaluating-increase-electricity-demand-data-centers
Fort Worth,TX,Tarrant County,2025-01-01,conditional_zoning,pending,pending,https://fortworthreport.org/2026/02/11/10b-data-center-hits-wall-after-fort-worth-leaders-cite-resources-land-usage-concerns/
California (statewide),CA,,2025-01-15,legislation,pending,pending,https://calmatters.digitaldemocracy.org/bills/ca_202520260ab222
Imperial Valley,CA,Imperial County,2025-01-28,litigation,active,active,https://www.thedesertreview.com/business/data-center-company-to-build-315-acre-center-in-lithium-valley/article_aff75860-4f82-11ef-a8b5-7f739e431385.html
Washington (Governor's Data Center Workgroup),WA,,2025-02-05,litigation,active,active,https://www.propublica.org/article/data-centers-clean-energy-washington-state
Oregon,OR,,2025-03-01,other,active,active,https://www.opb.org/article/2026/01/20/oregon-data-center-advisory-committee/
Strasburg,VA,Shenandoah County,2025-03-01,public_pressure,active,active,https://www.nvdaily.com/nvdaily/shenandoah-county-weighing-safeguards-as-it-shapes-data-center-policy/article_9457e215-e1c7-5396-93ce-537a11345351.html
U.S. Senate Environment and Public Works Committee,US,,2025-05-01,legislation,active,active,https://www.epw.senate.gov/public/index.cfm/2025/5/whitehouse-to-meta-pivot-to-embrace-fossil-fuel-expansion-threatens-economy-undermines-climate-safety-commitments
Oakland University (Rochester Hills),MI,Oakland County,2025-06-01,infrastructure_opposition,active,active,https://actionnetwork.org/petitions/petition-to-stop-the-data-center-from-being-built-in-p-35
Buckeye,AZ,Maricopa County,2025-06-01,public_pressure,active,active,https://www.datacenterdynamics.com/en/news/tract-announces-18gw-data-center-park-in-phoenix-arizona/
North Slope Borough,AK,North Slope Borough,2025-06-03,legislation,active,active,https://alaskabeacon.com/2025/06/03/new-alaska-bitcoin-mine-would-use-as-much-power-as-the-states-largest-coal-plant-produces/
EPA (Memphis ozone non-attainment petition),TN,Shelby County,2025-06-05,legislation,pending,pending,https://tennesseelookout.com/2025/06/10/groups-petition-epa-to-act-as-ozone-levels-in-memphis-exceed-national-health-standards/
Memphis (NAACP/SELC 60-day NOI to sue xAI Colossus 1),TN,Shelby County,2025-06-17,litigation,active,active,https://512pixels.net/wp-content/uploads/2025/06/2025.06.17-SELC-Notice-of-Intent-to-Sue-for-Violations-of-the-Clean-Air-Act_with-Enclosures.pdf
Savannah River Site (Federal AI Data Center),SC,Aiken County,2025-07-01,disclosure,active,active,https://www.energy.gov/nnsa/articles/nnsa-seeks-proposals-ai-data-centers-energy-projects-savannah-river-site-0
