project_id,project_name,lifecycle_outcome,delay_days,announced_precision,capacity_mw,escalation_cost_low,escalation_cost_high,deferred_revenue_exposure_low,deferred_revenue_exposure_high,block_sunk_cost_low,block_sunk_cost_high,note
prj_32,Project Rainier,advanced_confirmed,423,month,2400,1528580815,2001051248,5002628121,7837450723,,,"ILLUSTRATIVE ONLY: prices the raw announced-to-decision span, not opposition-attributable delay; month-precision announced date"
prj_38,Pittsboro Middle Township Data Center,pending,366,month,,,,,,,,capacity_mw unknown: no dollar output (never imputed)
prj_62,Tract Project West,pending,318,month,,,,,,,,capacity_mw unknown: no dollar output (never imputed)
prj_74,Loring Air Force Base Data Center,pending,14,month,2,42159,55191,137976,216163,,,"ILLUSTRATIVE ONLY: prices the raw announced-to-decision span, not opposition-attributable delay; month-precision announced date"
prj_80,Woodlawn Data Center,pending,-11,month,150,-2484396,-3252300,-8130749,-12738173,,,"ILLUSTRATIVE ONLY: prices the raw announced-to-decision span, not opposition-attributable delay; month-precision announced date"
prj_85,Atmosphere Dickerson Data Center,pending,64,month,360,34691196,45413929,113534823,177871222,,,"ILLUSTRATIVE ONLY: prices the raw announced-to-decision span, not opposition-attributable delay; month-precision announced date"
prj_115,Project Spade,advanced_confirmed,-75,month,1200,-135512484,-177398160,-443495401,-694809461,,,"ILLUSTRATIVE ONLY: prices the raw announced-to-decision span, not opposition-attributable delay; month-precision announced date"
prj_158,CLT10 Uptown Expansion,advanced_confirmed,369,month,,,,,,,,capacity_mw unknown: no dollar output (never imputed)
prj_206,Hannibal Data Center Campus,pending,2073,day,300,936391261,1225821288,3064553219,4801133377,,,"ILLUSTRATIVE ONLY: prices the raw announced-to-decision span, not opposition-attributable delay; month-precision announced date"
prj_227,Meta Bowling Green Data Center,advanced_confirmed,911,day,,,,,,,,capacity_mw unknown: no dollar output (never imputed)
prj_228,Microsoft New Albany Data Center,advanced_confirmed,972,day,,,,,,,,capacity_mw unknown: no dollar output (never imputed)
prj_229,Fairview Crossroads Data Center,pending,324,month,,,,,,,,capacity_mw unknown: no dollar output (never imputed)
prj_237,Project Gold,pending,203,month,1500,458483903,600197109,1500492773,2350772011,,,"ILLUSTRATIVE ONLY: prices the raw announced-to-decision span, not opposition-attributable delay; month-precision announced date"
prj_247,Hollenback Township Data Center Development Zoning Application,pending,40,month,960,57818660,75689882,189224704,296452037,,,"ILLUSTRATIVE ONLY: prices the raw announced-to-decision span, not opposition-attributable delay; month-precision announced date"
prj_258,Linfield Data Center,pending,53,month,750,59851347,78350854,195877135,306874179,,,"ILLUSTRATIVE ONLY: prices the raw announced-to-decision span, not opposition-attributable delay; month-precision announced date"
prj_265,Limerick / Project Laurel Data Center,pending,131,month,750,147934461,193659658,484149146,758500329,,,"ILLUSTRATIVE ONLY: prices the raw announced-to-decision span, not opposition-attributable delay; month-precision announced date"
prj_298,Swedeland Discovery Center Data Center Campus,blocked_confirmed,21,month,,,,,,,,capacity_mw unknown: no dollar output (never imputed)
prj_1010,Project Sail Data Center,advanced_confirmed,492,month,900,666721419,872798949,2181997372,3418462549,,,"ILLUSTRATIVE ONLY: prices the raw announced-to-decision span, not opposition-attributable delay; month-precision announced date"
prj_1011,Howell Township Data Center (Project Splitrock),blocked_confirmed,98,month,,,,,,,,capacity_mw unknown: no dollar output (never imputed)
prj_1012,Natelli Vance County Data Center,advanced_confirmed,78,month,,,,,,,,capacity_mw unknown: no dollar output (never imputed)
