bill_key,state,identifier,title,session,stage,stage_date,direction,direction_rule,subject_basis,subject_scope,reach,instrument,in_frame_via,lookup_status,openstates_url,n_positions
AZ:HB 2452,AZ,HB 2452,comprehensive plans; data centers; nuclear,57th-2nd-regular,Failed floor vote,2026-02-25,restrictive,ratepayer_cost_allocation,title_term,primary,data_center_specific,ratepayer_cost_allocation,Require data centers to fund grid upgrades via HB 2756,ambiguous_session,https://openstates.org/az/bills/57th-2nd-regular/HB2452/,60
AZ:HB 2457,AZ,HB 2457,public utilities; plant construction; colocation,57th-2nd-regular,Failed floor vote,2026-02-25,unclassified,,incident_corroborated:energy_utility,partial,sector_vehicle,supply_enablement,Require data centers to fund grid upgrades via HB 2756,ambiguous_session,https://openstates.org/az/bills/57th-2nd-regular/HB2457/,150
AZ:HB 2756,AZ,HB 2756,utilities; high load factor customers,57th-2nd-regular,Signed into law,2026-06-04,restrictive,ratepayer_cost_allocation,title_class_term,primary,large_load_class,ratepayer_cost_allocation,Require data centers to fund grid upgrades via HB 2756,ambiguous_session,https://openstates.org/az/bills/57th-2nd-regular/HB2756/,150
AZ:HB 2795,AZ,HB 2795,small modular reactors; zoning; approval,57th-2nd-regular,Failed floor vote,2026-04-08,unclassified,,incident_corroborated:energy_utility,partial,sector_vehicle,siting_zoning,Allow SMR colocation with data centers in Arizona counties,ambiguous_session,https://openstates.org/az/bills/57th-2nd-regular/HB2795/,180
AZ:HB 4009,AZ,HB 4009,data centers; state lands; map,57th-2nd-regular,Failed floor vote,2026-02-26,restrictive,ratepayer_cost_allocation,title_term,primary,data_center_specific,ratepayer_cost_allocation,Require data centers to fund grid upgrades via HB 2756,matched,https://openstates.org/az/bills/57th-2nd-regular/HB4009/,61
CA:AB 1577,CA,AB 1577,Data centers: reporting.,20252026,Passed both chambers,2026-08-26,disclosure,disclosure_reporting,title_term,primary,data_center_specific,disclosure_reporting,Require data center energy and water reports in CA,matched,https://openstates.org/ca/bills/20252026/AB1577/,291
CA:SB 1168,CA,SB 1168,Data centers: rate structures.,20252026,Withdrawn,2026-04-23,unclassified,unclassified,title_term,primary,data_center_specific,unclassified,Impose energy surcharges on data centers to fund rate relief,matched,https://openstates.org/ca/bills/20252026/SB1168/,104
CA:SB 57,CA,SB 57,Electrical corporations: data centers: report.,20252026,Signed into law,2025-10-11,disclosure,disclosure_reporting,title_term,primary,data_center_specific,disclosure_reporting,Prevent data center cost pass-through to residential rates in CA,ambiguous_session,https://openstates.org/ca/bills/20252026/SB57/,224
DE:HB 445,DE,HB 445,AN ACT TO AMEND TITLE 26 AND TITLE 29 OF THE DELAWARE CODE RELATING TO LARGE ENERGY USE FACILITIES.,153,Failed floor vote,2026-07-01,restrictive,ratepayer_cost_allocation,title_class_term,primary,large_load_class,ratepayer_cost_allocation,Limit ratepayer exposure to data center energy costs and require DE data centers to self-supply power,matched,https://openstates.org/de/bills/153/HB445/,144
DE:SB 326,DE,SB 326,AN ACT TO AMEND TITLE 26 OF THE DELAWARE CODE RELATING TO THE PUBLIC SERVICE COMMISSION.,153,Signed into law,2026-07-13,unclassified,,incident_corroborated:energy_utility,partial,sector_vehicle,ratepayer_cost_allocation,Limit ratepayer exposure to data center energy costs and require DE data centers to self-supply power,matched,https://openstates.org/de/bills/153/SB326/,62
FL:SB 1118,FL,SB 1118,Public Records/Data Centers,2026,Failed floor vote,2026-03-13,restrictive,siting_zoning,title_term,primary,data_center_specific,siting_zoning,Create public records exemption shielding data center siting plans for 12 months (SB 1118),ambiguous_session,https://openstates.org/fl/bills/2026/SB1118/,41
FL:SB 484,FL,SB 484,Data Centers,2026,Signed into law,2026-05-07,restrictive,siting_zoning,title_term,primary,data_center_specific,siting_zoning,Create public records exemption shielding data center siting plans for 12 months (SB 1118),ambiguous_session,https://openstates.org/fl/bills/2026/SB484/,944
GA:HB 1063,GA,HB 1063,Electric utilities; protect residential and retail electricity customers from costs associated with data center construction and operation; require,2025_26,Withdrawn,2026-02-02,restrictive,ratepayer_cost_allocation,title_term,primary,data_center_specific,ratepayer_cost_allocation,Suspend data center tax exemptions and ban water NDAs in Georgia,ambiguous_session,https://openstates.org/ga/bills/2025_26/HB1063/,708
