universe_id,flag,provenance,name,state,coding,notes
prj_295,missing_opposition_events,detected_from_notes,Nottingham Data Center,NH,verified_opposition,"Change.org petition reached 14747 signatures; protests at Nottingham Planning Board; applicant withdrew conceptual application 2026-05-27 amid outcry (also NHPR 2026-05-26, Union Leader 2026-05-27). Opposition events should be added to master_opposition."
prj_279,missing_opposition_events,detected_from_notes,CleanSpark Mountain City Bitcoin Mine,TN,verified_opposition,"Petition 1700+ verified signatures; packed BMA hearings May-Aug 2025; rezoning nixed Aug 2025 after lawsuit threats from opponents (also WJHL 2025-08-13, DCD 2026-02-11). Opposition events should be added to master_opposition."
prj_201,missing_opposition_events,detected_from_notes,Morabito Slavic Village Data Center,OH,verified_opposition,"Immediate public outcry; residents and council members organized an opposition rally; Ward 15 moratorium legislation introduced in response; permit rejected 2026-05-14 (procedurally incomplete, but opposition independently documented; also cleveland19, Signal Cleveland). Opposition events should be added to master_opposition."
prj_61,geography_error,detected_from_notes,Project Pulse,KY,undeterminable,"No Kentucky Project Pulse found in any query. Project Pulse plus Clark County strongly matches Clark County ARKANSAS (Arkadelphia Southwest Arkansas Mega Site, 991 acres, advancing per Arkansas Democrat-Gazette 2026-05-03). Probable state miscoding in tracker; if AR, outcome coding (blocked_confirmed) is also wrong. Flagged for tracker review."
prj_61,outcome_review,detected_from_notes,Project Pulse,KY,undeterminable,"No Kentucky Project Pulse found in any query. Project Pulse plus Clark County strongly matches Clark County ARKANSAS (Arkadelphia Southwest Arkansas Mega Site, 991 acres, advancing per Arkansas Democrat-Gazette 2026-05-03). Probable state miscoding in tracker; if AR, outcome coding (blocked_confirmed) is also wrong. Flagged for tracker review."
prj_64,geography_error,detected_from_notes,Millinocket Data Center,ME,verified_none,"True negative with rich footprint: 2021 announcement celebrated by Senators Collins and King and Gov. Mills; residents wanted the development; cancellation (reported 2025-04-09) was commercial (no AI customer, insufficient power), not opposition. Mechanism flag: blocked_confirmed derives from phase but the failure mode is commercial cancellation. Data flag: county listed as aroostook; Millinocket is Penobscot County."
prj_64,mechanism_review,detected_from_notes,Millinocket Data Center,ME,verified_none,"True negative with rich footprint: 2021 announcement celebrated by Senators Collins and King and Gov. Mills; residents wanted the development; cancellation (reported 2025-04-09) was commercial (no AI customer, insufficient power), not opposition. Mechanism flag: blocked_confirmed derives from phase but the failure mode is commercial cancellation. Data flag: county listed as aroostook; Millinocket is Penobscot County."
prj_76,duplicate_project,detected_from_notes,,,verified_opposition,"RESOLVED AS DUPLICATE: row retained as audit trail. prj_76 was suppressed via data/project_duplicates.csv (kept prj_331, which carries the opposition event and decision date), so this row is expected to appear as out-of-frame in the report. Original finding: Hundreds packed Howell Township planning meetings (comments past 2AM Sept 23-24 2025); 2200-signature moratorium petition; unanimous planning denial; application withdrawn Nov 2025; rezoning request pulled 2026 (also EDRA of MI, CBS Detroit). DUPLICATE FLAG: prj_76 and prj_331 are the same project (same name, developer Randee LLC, county, announce month, phase); prj_331 carries the linked event and decision date. Needs dedup in project resolution."
prj_266,outcome_review,detected_from_notes,Newton Township Data Center,PA,undeterminable,"Zoning officer denied application 2026-02-19 as not an allowed use (administrative, not opposition-driven); developer appealed to ZHB (heard 2026-04-27) and seeks site-specific relief in Common Pleas via attorney Mey; a resident (Magnotta) petitioned to intervene, direction unclear from coverage (WVIA 2026-04-10). No unambiguous opposition activity found. Defensibility flag: mid-litigation, same posture as prj_232; blocked_confirmed coding should be reviewed."
prj_86,missing_opposition_events,detected_from_notes,Pavilion Township Data Center,MI,verified_opposition,"EDRA of MI documents residents and officials of Pavilion Township fighting the Franklin Partners AI data center development (statement on EDRA site, retrieved 2026-07-23). Opposition events should be added to master_opposition; a deeper pass can source local coverage."
prj_16,missing_opposition_events,detected_from_notes,Vilonia Cryptomine,AR,verified_opposition,"Months of documented opposition (mayor: 400 to 500 against, nobody for it); planning commission denial April 2025; council unanimous denial May 2025 (also KATV 2025-05-24, Arkansas Times 2025-05-21). Opposition events should be added to master_opposition."
prj_104,missing_opposition_events,detected_from_notes,Mo Lake Development Cross Creek Data Center,MO,verified_opposition,"Furious opposition at public meetings; standing-room-only county commission 2026-04-30 (Opportunity Zone support rejected unanimously); county restrictive ordinance; Camdenton one-year moratorium; developer withdrew annexation petition (also KRCG 2026-05-05, Lake Sun 2026-04-30). Opposition events should be added to master_opposition."
