Incident,State,County,Date,qc_mechanism,status_clean,bill_progress,outcome_overstated,Community Outcome,outcome_defensible,finality_evidence,outcome_conflict_reason,suggested_resolution,Source URL
Wrangell,AK,Wrangell City and Borough,2025-08-21,public_pressure,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.","https://wrangellsentinel.com/stories/borough-wants-to-pursue-possible-data-center-tenant-at-6-mile-mill-site,24587"
Matanuska-Susitna Borough,AK,Matanuska-Susitna Borough,2026-03-11,disclosure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://alaskapublic.org/news/politics/2026-03-11/mat-su-data-center-plan-in-doubt-after-mayors-veto
Childersburg,AL,Talladega County,2026-01-23,conditional_zoning,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://insideclimatenews.org/news/23012026/this-small-alabama-town-was-part-of-the-manhattan-project-now-it-may-host-a-hyperscale-data-center/
Irondale,AL,Jefferson County,2026-05-20,other,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.wbrc.com/2026/05/21/irondale-leaders-say-city-is-not-pursuing-data-centers-after-community-discussion/
"Pinal County (Eloy — La Osa campus scaled back ~80% after opposition), AZ",AZ,Pinal County,2026-05-28,project_denial,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.kjzz.org/fronteras-desk/2026-05-28/largest-proposed-data-center-in-arizona-to-be-scaled-back-80-after-opposition
Monterey Park,CA,Los Angeles County,2026-01-21,ban,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.montereypark.ca.gov/1710/Data-Center-Information
Monterey Park (permanent ballot ban),CA,Los Angeles County,2026-03-04,ban,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.montereypark.ca.gov/m/newsflash/home/detail/1306
"City of Imperial (hyperscale data center moratorium advancing), CA",CA,Imperial County,2026-05-20,moratorium,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://kyma.com/news/top-stories/2026/05/21/imperial-moves-toward-moratorium-on-hyperscale-data-centers/
Logan County,CO,Logan County,2025-10-21,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.journal-advocate.com/2025/10/22/county-imposes-6-month-moratorium-on-solar-wind-data-center-and-battery-storage-permits/
DeSoto County,FL,DeSoto County,2026-05-19,public_pressure,pending,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.","https://thebradentontimes.com/stories/developers-push-massive-data-center-complex-in-desoto-county-amid-backlash,198154"
"Walton County (directs staff to draft outright AI data center ban), FL",FL,Walton County,2026-05-27,other,unknown,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.wjhg.com/2026/05/28/walton-county-commission-votes-write-up-ban-ai-data-centers/
"Hernando County (1-year data center moratorium), FL",FL,Hernando County,2026-06-04,moratorium,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.hernandosun.com/2026/06/05/hernando-county-commissioners-approve-one-year-data-center-moratorium/
Clayton County,GA,Clayton County,2025-09-01,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.claytoncountyga.gov/news/clayton-county-board-of-commissioners-approves-moratorium-on-new-data-centers-in-clayton-county/
Troup County,GA,Troup County,2025-09-01,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.11alive.com/article/news/local/troup-county-moratorium-on-data-centers/85-87d5c110-12db-4a48-88dd-70bda4ac47c9
Lamar County,GA,Lamar County,2025-09-01,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they
Columbia County,GA,Columbia County,2026-02-04,litigation,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://augustaceo.com/news/2026/02/citizen-files-lawsuits-over-columbia-county-data-centers/
Butts County,GA,Butts County,2025-12-01,disclosure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://georgiarecorder.com/2025/12/01/massive-burt-jones-backed-project-among-wave-of-data-centers-proposed-for-georgia/
Marietta City Council,GA,Cobb County,2026-07-08,moratorium,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.fox5atlanta.com/news/marietta-data-center-rezoning-freeze-approved-after-massive-public-outcry
Logan County,IL,Logan County,2025-12-01,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.illinoistimes.com/news/logan-county-takes-its-time-on-data-center-proposal/
White County,IN,White County,2025-10-01,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.datacenterwatch.org/report
Hobart,IN,Lake County,2025-10-01,public_pressure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.utilitydive.com/news/nisource-nipsco-amazon-data-centers-indiana/806396/
Kokomo (Howard County),IN,Howard County,2025-11-01,cost_allocation,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.change.org/p/prevent-data-centers-from-establishing-in-kokomo-indiana
Franklin County,IN,Franklin County,2026-02-24,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.eaglecountryonline.com/news/local-news/franklin-co-commissioners-place-year-long-moratorium-on-data-centers/
"Lexington-Fayette Urban County (no incentives for DartPoints + council moratorium), KY",KY,Fayette County,2026-06-08,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.wkyt.com/2026/06/08/dartpoints-data-center-coming-lexington-wont-get-city-incentives/
Mooringsport (Caddo Parish),LA,Caddo Parish,2026-02-24,disclosure,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.sierraclub.org/louisiana
Caddo-Bossier Parishes (Shreveport area),LA,Caddo Parish,2026-02-25,cost_allocation,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.ksla.com/2026/03/10/amazon-data-center-plan-raises-air-quality-concerns-northwest-louisiana/
Louisiana Public Service Commission (Docket U-37425),LA,,2026-01-14,legislation,active,,False,loss,advanced_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://earthjustice.org/press/2026/louisiana-regulators-asked-to-investigate-shady-meta-financing-deal-that-could-leave-households-paying-for-tech-giants-electricity
Westfield,MA,Hampden County,2024-11-01,moratorium,pending,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://theshoestring.org/2025/12/30/ai-hallucination-proposed-westfield-data-center-appears-abandoned-by-developers/
Shutesbury,MA,Franklin County,2025-09-30,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://recorder.com/2025/09/12/shutesbury-data-center-moratorium/
Prince George's County (Landover),MD,Prince George's County,2025-09-01,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://foxbaltimore.com/news/local/prince-georges-county-data-centers-zoning-electric-grid-energy-maryland
Clark Township,MI,Chippewa County,2025-06-01,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
Dundee Township,MI,Monroe County,2025-10-02,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://bluewaterhealthyliving.com/news/local-news/michigan/where-does-dundee-township-stand-on-the-proposed-data-center/
Manchester Township,MI,Washtenaw County,2025-10-14,moratorium,active,,False,win,blocked_unverified,outcome_label_only,finality rests on the recorded outcome alone (no independent status/stage evidence),"Re-check the source: if the action reached a formal disposition, set Status to the terminal value (passed/denied/withdrawn/etc.); the grade will upgrade automatically on the next pipeline run.",https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
